# logM1, logM_cut, alpha, alpha_s, alpha_c, logsigma, kappa, B_cen, B_sat
13.53518,12.89199,0.73011,0.95080,0.27580,-1.39624,1.31297,-0.17469,0.52087
14.34950,13.08213,1.27075,0.93460,0.24473,-0.46330,0.58502,-0.16346,0.44778
13.71545,13.21385,1.33429,1.19206,0.36221,-1.84968,1.43695,0.23222,-0.00629
13.95267,13.07315,1.04345,0.97871,0.41652,-1.08917,1.03781,0.49226,0.00653
13.79658,13.00607,1.46044,1.01471,0.41117,-2.55659,0.30265,0.27115,-0.24331
14.16837,13.29409,0.80047,1.23222,0.35125,-0.07382,1.02058,0.42724,-0.76468
14.37984,13.27044,1.26363,0.76476,0.16111,-1.40208,1.31675,0.17740,-0.05807
14.00039,12.48792,1.07095,0.74369,0.15700,-0.66713,1.08743,-0.08204,-0.94978
14.22194,13.25928,1.06608,0.72023,0.20016,-2.13772,0.71771,0.30754,-0.18591
13.67673,12.82178,0.71362,1.23141,0.17016,-1.07140,0.98258,0.41177,0.54584
14.28930,13.13651,1.36612,1.14559,0.23666,-0.34616,0.31487,-0.27914,-0.60335
13.93880,13.15719,1.09665,0.81952,0.02031,-2.76245,0.34932,-0.28902,0.45203
14.14386,13.03016,1.19056,1.19444,0.26362,-2.04424,0.65631,-0.39973,-0.91658
13.86207,12.88036,1.03376,1.06829,0.35711,-0.16530,0.24566,0.36831,-0.21969
14.15282,12.98865,0.73805,1.22463,0.09278,-0.80507,0.60148,0.27802,0.38981
14.36059,13.02726,0.77402,0.79828,0.27632,-0.65620,1.24091,-0.39192,-0.21088
13.43576,12.46588,1.42566,1.06372,0.42429,-1.15058,0.11958,-0.45650,0.86751
13.49493,12.67528,0.73427,1.09119,0.24516,-0.43260,1.03079,-0.09352,-0.18434
13.45755,13.05884,0.77572,1.29309,0.32406,-1.46894,1.45233,0.36043,-0.37887
13.63083,13.02729,1.11607,0.91899,0.44448,-1.93474,0.94597,0.12276,-0.33586
13.48948,13.18435,1.24478,0.77386,0.46294,-1.43397,0.79272,-0.04449,-0.40268
13.67982,12.62924,1.29799,1.21684,0.39119,-0.04362,0.75614,-0.00417,-0.85189
13.27502,12.59413,1.15174,1.09787,0.32869,-1.98810,0.78320,-0.19524,-0.06707
14.08486,13.15343,0.83070,1.20905,0.15790,-2.29210,0.78892,-0.18206,0.11809
13.94058,13.29786,0.99432,1.20110,0.22079,-2.93596,0.03840,0.48329,0.39552
14.24899,12.89663,0.74722,1.24388,0.06944,-0.31683,1.40923,0.45952,0.93109
14.26741,12.94474,1.01027,0.74350,0.03676,-1.43484,1.02094,-0.11566,-0.16874
13.71610,12.61732,1.17883,0.87838,0.15936,-1.83602,0.63037,0.18899,0.81828
14.08280,12.69857,1.37865,0.87392,0.39544,-2.51202,1.07004,0.00287,0.27789
13.42640,13.25703,0.99424,1.04806,0.33200,-2.66768,1.18207,0.07365,-0.87866
13.28575,12.53506,1.13381,0.98050,0.25652,-1.67880,1.10514,-0.09680,0.15220
13.20629,13.01127,1.08945,0.82355,0.46492,-1.20419,0.62721,-0.00376,-0.81882
14.31569,12.57826,0.89699,0.72959,0.49418,-0.05309,0.93390,0.26583,-0.76990
14.30552,13.25859,0.71126,1.10242,0.38455,-0.21986,0.73447,0.47939,0.99186
13.77439,12.95980,1.37571,1.12376,0.45574,-2.20693,0.09888,-0.02353,0.79764
13.60748,12.65575,1.02191,1.00523,0.24863,-2.48371,0.33428,0.22262,0.62171
13.65735,12.82309,0.97472,1.29437,0.04556,-2.23593,0.10652,-0.15555,-0.97796
13.44597,12.71741,0.72213,0.79305,0.48127,-1.75976,1.17911,0.05316,0.86630
13.69754,13.27548,0.73251,0.71619,0.34035,-0.95595,0.17381,-0.34929,-0.95952
14.28386,12.99730,0.88955,0.80448,0.14889,-2.40255,0.78264,-0.37612,0.98417
13.31238,12.51912,1.22070,1.10314,0.29123,-2.44375,1.06168,-0.28144,0.05681
14.36789,13.20313,0.82827,0.98030,0.27463,-2.55951,0.56981,0.08774,0.77964
13.20673,12.50091,1.33084,1.07843,0.44764,-2.91928,0.15422,0.24167,-0.95069
13.72744,13.23519,1.48404,0.90379,0.06988,-2.23953,0.20631,-0.03293,0.42112
13.45572,13.17823,1.28063,0.72314,0.16690,-0.79011,0.72905,0.10892,-0.46333
13.96595,12.89329,1.03912,0.99827,0.42750,-2.72427,0.35044,-0.28672,0.10372
14.10148,12.98587,1.07837,0.92574,0.49781,-0.54745,0.55440,0.19381,-0.00335
13.26500,12.41357,0.84291,0.82158,0.18233,-0.43687,0.33000,0.05574,0.81273
14.19828,13.10911,1.46562,1.07634,0.20328,-2.04030,0.72022,0.03508,-0.29024
13.58970,13.28596,1.47820,1.08970,0.36856,-0.92847,0.26875,0.18932,0.19510
13.27200,12.42291,0.79835,0.86561,0.27566,-1.88006,1.46412,-0.34198,-0.37251
13.96869,12.56697,1.10306,1.26183,0.07659,-0.40657,0.17993,-0.07500,0.37741
14.01543,13.17943,1.15778,0.83908,0.35733,-1.07156,0.56231,0.27145,-0.46607
13.91119,13.22632,1.04778,1.27819,0.05456,-1.62451,0.85125,-0.19029,0.03202
13.55488,12.81840,0.72505,1.22247,0.20250,-1.97993,0.99692,-0.06744,-0.49725
13.92225,13.21241,0.99660,1.17328,0.35085,-2.21094,1.49824,-0.15466,-0.44349
14.23609,13.12387,1.48623,0.87674,0.06122,-0.54737,0.28403,-0.15323,-0.43054
13.45850,13.21918,0.91119,0.91743,0.16208,-2.34644,1.24979,-0.33122,0.22037
13.47708,12.87809,1.13568,1.23684,0.29491,-0.20388,0.23782,0.11146,-0.07497
13.99522,12.89796,1.27525,0.91957,0.43405,-2.60237,0.52734,-0.33053,0.64437
14.07787,12.52575,0.97743,0.75342,0.02778,-0.68563,0.59204,0.27901,-0.35817
13.30422,12.91869,0.75834,0.98560,0.10973,-1.26749,0.18646,0.00514,0.81183
14.27885,12.52040,0.86169,0.99549,0.44034,-0.28078,0.92244,-0.07235,0.89956
13.77481,12.96487,1.26815,0.97000,0.22511,-1.75854,0.95922,0.36029,-0.15916
13.21227,12.81329,1.02232,0.75488,0.09225,-0.43911,0.16548,-0.03956,-0.91373
14.25228,13.21281,0.71221,1.25429,0.15282,-1.23210,0.92482,-0.01997,-0.07160
13.49317,12.97313,0.81662,0.71281,0.12055,-0.50188,0.65484,0.05702,0.99466
14.19997,13.14907,1.47138,0.70766,0.06189,-1.96577,0.80570,-0.09357,0.29362
14.01356,12.56695,1.00526,0.88522,0.08152,-2.21852,0.38471,-0.19328,-0.55635
13.59604,12.65239,0.96780,1.14080,0.39689,-0.26166,0.21267,0.05417,-0.20535
13.47854,12.82269,1.15835,0.97752,0.01428,-1.25332,0.47914,-0.05411,0.52223
13.44567,13.29255,0.93596,0.86414,0.00700,-0.02251,0.49662,0.42484,-0.12412
13.87181,12.85394,1.02197,1.24669,0.41494,-0.49826,0.33990,0.29887,0.99986
14.05287,12.70493,1.29021,1.08183,0.04390,-2.37450,0.34607,-0.31065,-0.88008
14.24109,13.10752,0.87591,0.95259,0.23566,-2.11805,0.61278,-0.09914,-0.76677
14.28867,13.21727,1.03662,1.09813,0.24451,-1.89516,0.54919,-0.13334,0.69049
13.52170,12.90527,0.93066,0.70075,0.34516,-1.07014,0.19427,0.08939,0.01651
13.97519,12.75529,1.39775,0.86682,0.10741,-0.31987,1.20354,0.40572,-0.46485
14.24582,12.60596,1.35442,1.11618,0.18283,-1.13054,0.47369,0.30176,-0.45248
13.99358,12.89645,1.06554,0.70143,0.07560,-1.60655,0.34902,0.44029,0.48057
14.37532,12.62815,1.46559,0.87944,0.25405,-2.92431,1.25922,-0.18082,0.77754
13.93210,12.41350,0.92234,1.25640,0.28636,-0.15910,0.52284,0.49035,-0.09325
13.76704,12.74615,1.03240,1.29203,0.04972,-0.98814,0.04127,0.04524,-0.46028
13.24045,12.48430,1.33961,0.70822,0.12398,-0.07330,0.67219,-0.13679,-0.98519
13.88213,12.77165,1.28588,0.78908,0.21239,-1.56895,1.22726,0.16618,0.21985
13.29052,13.16759,1.02656,0.93539,0.48133,-1.15859,0.85401,-0.00115,-0.18746
13.39867,13.18081,1.41986,0.98912,0.08393,-2.48770,1.09644,-0.09832,-0.71735
14.32231,12.73415,1.34410,1.08796,0.15854,-2.38679,0.17678,-0.31322,-0.60412
13.35807,12.71267,1.17889,1.17454,0.30336,-0.09170,1.33790,0.22764,-0.99268
14.15987,12.63169,0.98759,1.28637,0.44793,-2.27520,0.12799,0.29624,0.88869
13.75928,12.53871,0.85942,1.28908,0.38430,-0.80787,0.38970,0.23113,0.13892
13.23482,12.61213,1.28804,1.24248,0.39399,-0.63041,1.42536,0.30146,-0.03549
13.46394,13.27869,1.28575,0.79005,0.43211,-2.47308,0.31323,-0.11549,-0.05713
13.87887,12.95914,1.27446,1.10914,0.11266,-1.68844,0.47346,-0.01714,0.58002
13.95251,13.14860,1.26362,1.16007,0.22337,-2.25404,0.60576,0.02488,-0.32052
14.31001,13.21851,0.70262,1.12384,0.07784,-0.10909,1.36141,0.14725,0.03478
13.69308,12.78030,1.02054,0.96251,0.19388,-1.76512,0.13270,0.29483,0.89537
13.84019,12.58670,1.09352,1.23401,0.22613,-1.32244,1.27971,-0.21105,-0.70271
14.39002,12.76831,0.72624,1.07683,0.31322,-0.89158,0.28779,-0.31679,0.95192
13.53537,12.84238,0.73377,1.08959,0.29244,-1.46321,1.11141,-0.45455,0.21599
14.30651,12.61962,1.48511,0.72070,0.30775,-2.89596,1.28656,-0.30547,-0.59350
13.36448,12.79443,1.39450,1.14828,0.08020,-1.75025,0.58404,0.33043,0.80382
14.15577,12.67121,1.26557,0.95141,0.04399,-1.00469,1.42526,0.43561,-0.14446
14.34963,13.11854,1.19878,1.01166,0.06809,-1.39243,0.51280,0.03306,-0.68266
13.30908,12.94951,1.47023,1.05501,0.03700,-1.45420,0.46028,0.32622,-0.41163
14.22655,12.85279,1.35396,0.98993,0.39423,-2.41045,0.85457,0.15463,0.21402
13.86689,12.97065,1.35513,0.91173,0.47356,-1.01659,0.56189,-0.10539,-0.89141
14.36389,12.99581,0.72709,1.04386,0.19805,-1.89813,0.13503,-0.34392,0.24191
13.98318,13.19848,0.84433,0.80897,0.43672,-0.96262,0.25631,-0.27597,-0.22083
13.95680,12.77656,1.07673,1.11921,0.28161,-0.09500,0.68208,0.09309,-0.51460
14.25439,12.42873,1.25237,1.13597,0.27694,-0.37352,1.05203,0.19818,0.11416
13.96121,12.64607,1.37776,0.90302,0.31666,-0.47198,1.06177,-0.36227,0.37534
13.58801,12.82789,1.49692,0.86942,0.22895,-0.74700,0.44774,-0.15693,-0.91182
13.94594,12.80352,0.83782,1.09535,0.27912,-0.70354,0.28029,0.26083,-0.58715
13.87333,12.84248,0.80563,0.77439,0.45717,-0.68141,0.66934,0.38370,-0.71571
13.45062,13.11850,1.16876,1.11363,0.13107,-1.23250,0.90859,0.19761,0.04401
14.12579,12.83246,1.35314,1.19481,0.21740,-0.59363,1.41750,0.21120,0.09786
14.24329,12.52791,0.70690,1.22046,0.12664,-2.60633,0.98327,0.26465,-0.25806
14.14175,13.18896,0.78295,1.11554,0.21563,-0.28994,0.11164,0.28022,-0.81073
13.30145,13.28145,1.32419,1.17984,0.40306,-2.67531,0.74551,-0.28494,-0.12509
13.27449,12.97308,1.03172,0.81675,0.16881,-1.84444,0.93176,-0.40395,0.53766
13.25900,13.05277,1.47510,0.82797,0.43792,-0.31544,0.47477,-0.45183,0.86973
13.51065,12.66938,0.99172,1.07771,0.14773,-1.29637,1.42456,0.37091,0.95028
13.55661,13.01015,1.16469,0.92827,0.23189,-2.44030,0.22144,0.49783,0.08118
13.94978,13.16176,1.42174,0.88939,0.34315,-2.26388,0.94095,-0.27152,0.67619
13.68011,12.47341,1.09056,1.18759,0.20190,-1.29723,1.18959,-0.48849,-0.93076
13.95125,13.17940,1.17419,1.29597,0.21288,-1.02329,0.83402,-0.41948,0.94430
13.50643,12.81458,0.94737,1.06062,0.45818,-1.70156,0.80424,-0.33502,-0.91009
13.50375,12.60150,1.09120,0.88099,0.16192,-2.84489,0.31266,-0.19120,-0.76651
13.88232,13.13029,1.28447,1.04346,0.06531,-2.70542,1.08101,-0.48393,0.90614
13.36614,13.26876,1.15775,1.15768,0.14601,-0.09563,1.29740,0.33160,0.61619
14.35415,12.78384,1.46639,1.03414,0.15296,-2.44761,0.78258,-0.49775,-0.48359
13.27393,12.66528,1.17910,1.20277,0.28102,-0.11622,1.41412,-0.15861,-0.73079
14.08278,13.09740,1.48650,0.78814,0.47425,-1.96323,0.35231,0.11230,-0.06131
13.62569,12.54520,1.25623,0.87891,0.01271,-2.60030,0.22783,0.41195,0.04258
13.85457,12.56674,1.45990,1.00918,0.24360,-0.25597,0.63662,-0.38973,0.71157
14.06993,13.09373,1.44321,0.94384,0.35041,-1.38082,0.40895,-0.01309,-0.25040
13.96036,13.23149,1.19380,1.05339,0.42119,-1.94693,0.74115,-0.47641,-0.71312
14.25094,12.48797,0.97157,1.23286,0.02707,-0.74607,0.56148,0.06821,-0.15493
13.78327,12.42018,0.89524,0.78024,0.43239,-1.37491,0.15201,0.32717,-0.16410
13.81668,12.94246,1.30443,1.06182,0.37996,-2.24954,1.21483,-0.12197,-0.65459
13.76265,12.46590,1.08228,0.88218,0.10323,-0.94184,1.02408,-0.18292,0.94102
13.98338,12.70232,0.96213,0.79354,0.43480,-0.65035,0.75619,-0.23318,-0.82409
14.04560,13.20077,0.99401,1.11832,0.32590,-0.92637,0.41123,-0.37650,0.45922
14.34657,13.29015,1.23980,1.28901,0.43168,-1.60761,0.67828,-0.40534,-0.74098
13.95637,12.66129,0.82992,1.19884,0.30221,-1.23811,0.45490,0.34685,-0.05931
14.05444,12.62417,0.80524,0.90736,0.21317,-2.48287,1.19670,-0.46326,0.35080
13.44194,12.69492,0.96497,1.09151,0.02214,-1.94546,0.25544,0.01408,-0.42772
13.51964,12.73601,1.03733,1.03301,0.27509,-2.06749,0.83137,-0.26442,-0.92987
13.37624,13.12117,0.89817,0.97359,0.24618,-1.13650,0.49640,-0.26717,-0.65503
13.99980,13.03483,0.70046,1.26863,0.32592,-1.23744,0.89187,-0.35107,0.99678
14.38767,12.66644,0.70242,0.98413,0.30955,-1.31687,0.41860,-0.37089,0.89689
13.75525,12.67756,0.97708,1.20152,0.44469,-0.05861,0.24152,-0.26119,-0.87768
13.45617,12.81261,0.98350,1.05708,0.10154,-1.51881,1.01385,0.49888,-0.27866
13.71336,13.01772,1.39035,0.91773,0.22843,-0.60989,0.59129,-0.24065,0.05781
13.71909,13.09587,1.07270,0.88339,0.02704,-1.00153,0.59039,0.44888,0.10517
13.39991,12.44414,1.40508,0.88309,0.08346,-0.81927,0.84622,-0.20284,-0.85287
13.94748,12.63110,0.87579,1.25089,0.33704,-0.02925,1.14978,-0.00924,0.13564
13.65921,13.21744,1.46120,0.79229,0.26717,-2.56001,0.96489,0.45203,0.56653
13.71846,13.17095,1.09561,1.01924,0.38081,-2.28386,1.41976,0.03076,0.77611
14.13176,13.18025,1.11578,0.99458,0.41141,-2.26430,0.82067,-0.47832,-0.96670
13.59476,12.69152,1.03571,0.97241,0.12985,-1.46386,1.08387,-0.11285,-0.52641
13.47539,12.75952,1.03336,1.19197,0.37173,-0.78512,1.02065,0.36390,-0.87028
13.95004,13.09544,1.14563,1.12439,0.14528,-1.40459,0.92609,-0.33676,-0.02977
13.91739,12.67173,0.76983,0.87867,0.15368,-0.77660,0.80572,-0.08767,0.64506
13.64061,13.24329,1.31643,0.90874,0.43813,-2.37184,0.07258,0.18022,0.15819
14.39838,12.77861,1.18962,0.82434,0.09107,-1.28753,0.79690,0.24012,0.22450
13.63471,12.47602,1.19888,1.15184,0.14276,-0.56225,1.36685,-0.24489,-0.16370
14.07129,12.81238,1.14378,0.79318,0.09971,-2.54392,0.01800,-0.17632,0.83970
13.34260,12.91994,1.29627,1.00490,0.03407,-2.50224,0.19002,0.31552,-0.59553
14.00355,12.72686,1.20166,0.71484,0.49265,-1.73032,1.08911,0.30921,0.68386
13.42823,13.07013,1.48385,1.13478,0.26641,-0.31703,0.38638,0.29319,0.15545
13.43571,12.92474,1.49875,1.22675,0.31890,-2.57999,0.59341,0.15045,0.82327
13.53419,12.68832,1.45758,1.21010,0.15928,-1.07703,1.21315,-0.28713,-0.55407
13.57956,13.02815,0.89391,1.07148,0.19899,-0.58861,1.07978,0.10633,0.44082
13.27545,13.10522,1.42963,0.81280,0.28631,-0.62023,1.42201,-0.00596,-0.00521
13.40466,12.75455,0.86889,0.80960,0.48800,-1.14958,1.00883,-0.46763,-0.62276
14.29128,12.57561,1.16081,1.19330,0.03457,-2.50607,0.40365,-0.21235,0.10700
13.29266,13.15961,1.30741,1.17145,0.11055,-2.18887,0.09695,0.28491,-0.87821
13.45081,13.04819,1.16460,1.27981,0.22389,-1.55388,1.35183,-0.00394,-0.87258
13.43130,12.56972,0.94727,1.17778,0.23031,-2.14222,0.47523,-0.11812,-0.08630
14.35620,12.78671,1.42817,1.08446,0.44505,-0.28428,1.43420,-0.06085,0.56410
13.51836,12.65368,1.49852,1.01393,0.03255,-2.81782,0.87603,0.18480,0.42174
14.23909,13.10144,1.39811,1.08999,0.46814,-0.82890,0.64286,0.11529,0.52745
13.53781,12.82927,0.76042,0.86840,0.38608,-0.45424,1.14046,0.11302,-0.49193
13.48468,12.41045,1.09414,1.15879,0.03438,-0.93509,1.42754,-0.39422,0.05288
14.37126,12.93446,1.01187,1.10578,0.09991,-0.88226,0.16268,-0.28071,-0.88917
13.72139,12.53203,0.89583,1.11903,0.03514,-0.29066,0.97919,0.38448,-0.74554
13.62112,12.85950,0.84599,0.97954,0.14736,-1.37864,1.38111,-0.02081,0.45820
13.90069,13.24243,1.23782,1.11366,0.44280,-1.87260,1.33365,-0.48605,-0.94689
13.69549,13.05350,0.70310,1.01066,0.08263,-0.94497,0.41583,0.00372,-0.28674
14.09104,12.59697,1.21868,0.70418,0.48609,-2.12993,1.10971,0.29180,-0.74091
14.04739,12.69700,1.02559,0.80161,0.22712,-1.59761,0.23268,-0.34459,0.25534
13.39947,12.99328,0.94724,1.18852,0.31992,-1.66132,1.27925,-0.48860,0.19190
13.51898,12.84886,1.19945,1.23313,0.41440,-1.39307,1.00594,0.12179,0.26473
13.56077,12.80687,0.89009,0.74295,0.38117,-2.52677,0.98366,-0.44864,-0.62756
14.00463,13.01337,1.49530,0.88979,0.16725,-1.49425,0.26212,0.21384,0.86850
13.70141,12.42541,1.33471,1.05977,0.35491,-1.57793,0.53860,-0.43207,0.66206
14.38056,13.08452,1.42750,1.19142,0.30087,-1.84955,0.51582,0.23468,0.21130
14.37564,12.70311,1.32931,1.13875,0.04600,-2.65567,0.95919,0.19076,-0.28028
14.01727,13.12960,1.19525,0.90222,0.42493,-0.18306,0.58328,-0.28361,0.44176
14.32691,12.67885,1.37162,1.25222,0.34970,-1.06515,0.63237,-0.48311,0.49812
13.21544,12.86875,1.25595,1.15377,0.33368,-2.37560,0.05387,-0.11536,0.77348
13.92428,12.69248,1.17398,0.93682,0.18525,-2.88018,0.65536,0.41483,-0.45720
14.06925,13.27035,0.94981,1.27821,0.11227,-0.88149,0.77807,0.42529,-0.49710
14.02685,12.77020,0.95852,0.99542,0.09126,-0.78697,0.57752,-0.43577,-0.01808
13.41811,13.20925,1.14823,1.24458,0.15093,-2.53813,0.04940,0.44712,-0.54344
13.97081,12.68724,0.83651,1.29040,0.12007,-2.39105,0.19331,-0.36685,-0.67856
13.23536,13.15194,0.99249,1.08453,0.12332,-0.00816,0.76614,-0.04654,0.45103
14.38994,13.06165,1.49645,1.13378,0.25131,-2.74664,0.51205,0.11640,-0.57844
